timestamp,frequency,amplitude,label
06:16.1,220214.8,1.1839,CRACKED
06:18.3,109863.3,0.6436,CRACKED
06:20.4,109863.3,0.9696,CRACKED
06:22.5,109863.3,1.342,CRACKED
06:24.6,109863.3,1.7852,CRACKED
06:26.8,109863.3,1.4473,CRACKED
06:28.9,50293,1.3894,CRACKED
06:31.0,109863.3,1.5472,CRACKED
06:33.1,59570.3,1.2046,CRACKED
06:35.3,109863.3,0.7649,CRACKED
06:37.4,109863.3,1.7402,CRACKED
06:39.5,109863.3,1.7402,CRACKED
06:41.6,109863.3,1.7402,CRACKED
06:43.8,109863.3,1.7402,CRACKED
06:45.9,59570.3,1.3716,CRACKED
06:48.0,109863.3,0.6726,CRACKED
06:50.1,110351.6,0.7517,CRACKED
06:52.3,110351.6,1.1201,CRACKED
06:54.4,109863.3,0.962,CRACKED
06:56.5,109863.3,0.962,CRACKED
06:58.6,109863.3,0.962,CRACKED
07:00.8,109863.3,0.962,CRACKED
07:02.9,59570.3,1.2627,CRACKED
07:05.0,109863.3,1.1007,CRACKED
07:07.1,220214.8,1.3736,CRACKED
07:09.3,229003.9,1.2555,CRACKED
07:11.4,110351.6,0.6295,CRACKED
07:13.5,110351.6,0.6295,CRACKED
07:15.6,110351.6,0.6295,CRACKED
07:17.8,110351.6,0.6295,CRACKED
07:19.9,220214.8,1.2179,CRACKED
07:22.0,220214.8,1.2552,CRACKED
07:24.1,59570.3,1.0992,CRACKED
07:26.3,110351.6,1.6062,CRACKED
07:28.4,220214.8,1.4772,CRACKED
07:30.5,59570.3,1.3761,CRACKED
07:32.6,220214.8,1.6015,CRACKED
07:34.8,220214.8,1.6015,CRACKED
07:36.9,220214.8,1.6015,CRACKED
07:39.0,220214.8,1.6015,CRACKED
07:41.1,220214.8,1.6015,CRACKED
07:43.3,220214.8,1.6015,CRACKED
07:45.4,220214.8,1.6015,CRACKED
07:47.5,220214.8,1.8467,CRACKED
07:49.6,59570.3,1.1171,CRACKED
07:51.8,110351.6,1.18,CRACKED
07:53.9,59570.3,1.2326,CRACKED
07:56.0,110351.6,1.3825,CRACKED
07:58.1,109863.3,1.4494,CRACKED
08:00.3,59570.3,1.4177,CRACKED
08:02.4,109863.3,1.6371,CRACKED
08:04.5,109863.3,1.695,CRACKED
08:06.6,110351.6,1.2179,CRACKED
08:08.8,110351.6,1.3907,CRACKED
08:10.9,109863.3,1.6076,CRACKED
08:13.0,59570.3,1.4949,CRACKED
08:15.1,59570.3,1.4905,CRACKED
08:17.3,59570.3,1.4354,CRACKED
08:19.4,59570.3,1.5263,CRACKED
08:21.5,109863.3,1.645,CRACKED
08:23.6,109863.3,1.645,CRACKED
08:25.8,109863.3,1.645,CRACKED
08:27.9,109863.3,1.645,CRACKED
08:30.0,220214.8,1.3675,CRACKED
08:32.1,109863.3,1.6453,CRACKED
08:34.3,59570.3,1.4697,CRACKED
08:36.4,220214.8,1.5112,CRACKED
08:38.5,220214.8,1.3046,CRACKED
08:40.6,110351.6,1.6311,CRACKED
08:42.8,110351.6,1.4481,CRACKED
08:44.9,110351.6,1.3529,CRACKED
08:47.0,110351.6,1.2053,CRACKED
08:49.1,109863.3,1.3643,CRACKED
08:51.3,59570.3,1.3583,CRACKED
08:53.4,110351.6,1.4468,CRACKED
08:55.5,59570.3,1.6042,CRACKED
08:57.6,59570.3,1.6042,CRACKED
08:59.8,59570.3,1.6042,CRACKED
09:01.9,59570.3,1.6042,CRACKED
09:04.0,59570.3,1.6042,CRACKED
09:06.1,59570.3,1.6042,CRACKED
09:08.3,59570.3,1.6269,CRACKED
09:10.4,110351.6,1.7286,CRACKED
09:12.5,110351.6,1.7541,CRACKED
09:14.6,110351.6,1.2258,CRACKED
09:16.8,110351.6,1.6723,CRACKED
09:18.9,110351.6,1.2192,CRACKED
09:21.0,110351.6,1.5509,CRACKED
09:23.1,110351.6,1.0867,CRACKED
09:25.3,110351.6,1.3483,CRACKED
09:27.4,110351.6,1.5016,CRACKED
09:29.5,59570.3,1.3392,CRACKED
09:31.6,109863.3,1.309,CRACKED
09:33.8,110351.6,1.6526,CRACKED
09:35.9,110351.6,1.3605,CRACKED
09:38.0,110351.6,1.3325,CRACKED
09:40.1,110351.6,1.4072,CRACKED
09:42.3,110351.6,1.3536,CRACKED
09:44.4,110351.6,1.4803,CRACKED
09:46.5,110351.6,1.4803,CRACKED
09:48.7,110351.6,1.4803,CRACKED
09:50.8,110351.6,1.4803,CRACKED
09:52.9,110351.6,1.5694,CRACKED
09:55.0,110351.6,1.1408,CRACKED
09:57.2,110351.6,1.5014,CRACKED
09:59.3,109863.3,1.4447,CRACKED
10:01.4,59570.3,1.3685,CRACKED
10:03.5,110351.6,1.5194,CRACKED
10:05.7,59570.3,1.1785,CRACKED
10:07.8,110351.6,1.7039,CRACKED
10:09.9,110351.6,1.4391,CRACKED
10:12.0,110351.6,1.4849,CRACKED
10:14.2,110351.6,1.4849,CRACKED
10:16.3,110351.6,1.4849,CRACKED
10:18.4,110351.6,1.4849,CRACKED
10:20.6,109863.3,1.5213,CRACKED
10:22.7,109863.3,1.5149,CRACKED
10:24.8,59570.3,1.4062,CRACKED
10:26.9,110351.6,1.3867,CRACKED
10:29.1,110351.6,1.7144,CRACKED
10:31.2,110351.6,1.3683,CRACKED
10:33.3,110351.6,1.5536,CRACKED
10:35.4,110351.6,1.47,CRACKED
10:37.6,110351.6,1.3046,CRACKED
10:39.7,110351.6,1.3046,CRACKED
10:41.8,110351.6,1.3046,CRACKED
10:43.9,110351.6,1.3046,CRACKED
10:46.1,110351.6,1.3046,CRACKED
10:48.2,110351.6,1.3046,CRACKED
10:50.3,110351.6,1.3046,CRACKED
10:52.4,110351.6,1.3046,CRACKED
10:54.6,110351.6,1.3046,CRACKED
10:56.7,110351.6,1.3046,CRACKED
10:58.8,110351.6,2.0255,NORMAL
11:00.9,110351.6,1.8532,NORMAL
11:03.1,110351.6,1.8532,NORMAL
11:05.2,110351.6,1.8532,NORMAL
11:07.3,110351.6,1.6116,CRACKED
11:09.5,110351.6,1.4284,CRACKED
11:11.6,110351.6,1.7795,CRACKED
11:13.7,109863.3,1.4616,CRACKED
11:15.8,109863.3,1.4616,CRACKED
11:18.0,109863.3,1.4616,CRACKED
11:20.1,109863.3,1.4616,CRACKED
11:22.2,110351.6,1.597,CRACKED
11:24.3,110351.6,1.597,CRACKED
11:26.5,110351.6,1.597,CRACKED
11:28.6,110351.6,1.597,CRACKED
11:30.7,109863.3,1.3391,CRACKED
11:32.8,110351.6,1.2575,CRACKED
11:35.0,59570.3,1.3556,CRACKED
11:37.1,110351.6,1.2246,CRACKED
11:39.2,59570.3,1.1969,CRACKED
11:41.3,59570.3,1.175,CRACKED
11:43.5,110351.6,1.7673,CRACKED
11:45.6,110351.6,1.5533,CRACKED
11:47.7,110351.6,0.8776,CRACKED
11:49.8,110351.6,1.2714,CRACKED
11:52.0,109863.3,0.9073,CRACKED
11:54.1,110351.6,1.1496,CRACKED
11:56.2,110351.6,1.4429,CRACKED
11:58.3,110351.6,1.5153,CRACKED
12:00.5,110351.6,1.3775,CRACKED
12:02.6,110351.6,1.5639,CRACKED
12:04.7,109863.3,1.2537,CRACKED
12:06.8,109863.3,1.0729,CRACKED
12:09.0,109863.3,0.9242,CRACKED
12:11.1,110351.6,0.8735,CRACKED
12:13.2,109863.3,1.0426,CRACKED
12:15.3,110351.6,0.8679,CRACKED
12:17.5,110351.6,1.2224,CRACKED
12:19.6,110351.6,1.5901,CRACKED
12:21.7,110351.6,1.4634,CRACKED
12:23.8,110351.6,1.3925,CRACKED
12:26.0,110351.6,1.4951,CRACKED
12:28.1,109863.3,0.6673,CRACKED
12:30.2,110351.6,0.9544,CRACKED
12:32.3,110351.6,0.7878,CRACKED
12:34.5,110351.6,0.8349,CRACKED
12:36.6,110351.6,0.8546,CRACKED
12:38.7,110351.6,1.0287,CRACKED
12:40.8,110351.6,0.9671,CRACKED
12:43.0,110351.6,0.8265,CRACKED
12:45.1,110351.6,1.046,CRACKED
12:47.2,109863.3,1.0228,CRACKED
